CONCEPT,LABEL,ACRONYM,SYNONYM,DOMAIN,DEFINITION,EXAMPLE,NOTE,RELATEDCONCEPT
microformats,microformats,,,standards,An approach to embedding small bits of semantics in XML or XHTML.,,,
model-theoretic semantics,model-theoretic semantics,,,semantics,"An account of meaning in which sentences are interpreted in terms of a model of, or abstract formal structure representing, an actual or possible state of the world.",,,
namespace,namespace,,,semantics,A domain within which a name is guaranteed to be unique and findable.,,,
natural language processing,natural language processing,NLP,,artificial intelligence,A branch of artificial intelligence that deals with interpreting and generating humanlike speech.,,,
navigational,navigational,,,lexicography,Non-formal taxonomies intended to aid users in finding information in a large source.,,,
node folding,node folding,,,RDF,Process whereby a large number of independently defined “triples” are combined into a logical graph.,,,
nomenclature,nomenclature,,,lexicography,Set of names for terms in a given domain.,,,
nominalization,nominalization,,,lexicography,To convert a verb to a noun. Used in software programs to create a handle for a method.,,,
normalization,normalization,,,database,Arrangement of attributes to tables in a relational design so as to avoid update anomalies. Ensuring that each property is dependent only on the primary keys of its table.,,,
Notation 3,Notation 3,N3,,standards,Shorthand way of writing rules in Semantic Web.,,,
Notation3,Notation3,,,semantics,A shorthand way of writing rules in the Semantic Web.,,,
object oriented,object oriented,OO,,object oriented,"Style of programming that features data hiding within classes, and type and property inheritance. ",,,
object role modeling,object role modeling,ORM,,object role modeling,"Conceptual design notation focused on role modeling. Enables good modeling, especially for relationships of higher valence.",,,
ontology,ontology,,,philosophy,A subdiscipline of metaphysics which concerns itself with the nature of being.,,,
ontology,ontology,,,semantics,A specification of a conceptualization.,,,
ontology inference layer,ontology inference layer,OIL,,,Standard for defining and interchanging ontologies.,,,
orthogonality,orthogonality,,facets,modeling,"Literally ""at right angles."" Refers to finding aspects of categorization that are as independent of each other as possible.",,,
OWL-S Standard,OWL-S Standard,OWL/S,,"standards, semantic web",An ontology for describing the capabilities of Web services.,,,
parse,parse,,,software,To separate an incoming stream of data into its constituent parts based on a grammer and various delimiters.,,,
partial,partial,,,"OWL, modeling","A partial class is one that has necessary, but not necessary and sufficient restrictions.",,,complete
partonomy,partonomy,,mereology,lexicography,A mereological hierarchy; a type of hierarchy that deals with part–whole relationships.,A bill of materials,,
parsed character data,parsed character data,PCDATA,,"standards, XML, HTML",Text that can be parsed.,,,character data
perception,perception,,,metaphysics,The process whereby humans discern order in a complex world.,,,
phenomenology,phenomenology,,,metaphysics,A branch of metaphysics that reality consists of objects and events as perceived by human consciousness.,,,sophists
polymorphism,polymorphism,,,object-oriented design,"Literally ""to take many forms."" In object-oOriented design, subclasses of a class implement the public interface to the parent class in such a way that a message sent to a collection of parents and children would be responded to by each appropriately, without the caller knowing.",,,
polysemous,polysemous,,,lexicography,A word with multiple related meanings.,"Mouth, the anatomic opening, and mouth, the opening of a cave.",,
pragmatism,pragmatism,,,philosophy,A branch of philosophy that holds that both the meaning and the truth of any idea is a function of its practical outcome.,,,
precision (semantic),precision (semantic),,,"semantics, modeling",The degree of refinement or specificity applied to a particular semantic categorization.,"""Car repair manual"" is a more semantically precise term than ""document,"" even though both may be equally accurate.",,
predicate,predicate,,,logic,A statement you can make about something that can be evaluated later as true or false.,,,
prime,prime,,,semantics,Types which are atomic and have no supertypes. There is a belief that there are a few semantic primes from which all business-related applications can be built.,,,
property,property,,,ontology,An attribute (Datatype) or relationship (ObjectType) of an object/individual.,,,
property,property,,,model,"In object-oriented design, either an attribute or a relationship.",,,
prototypes,prototypes,,,classification theory,A way of defining categories around exemplar representatives.,"A ""robin"" may be a prototype for the category ""bird.""",,
query,query,,,database (noun),A declarative statement describing the dataset that a user or program wants to obtain from a database.,,,
query,query,,,application (verb),To request information from a data store.,,,
range,range,,,,A restricted set of the domain of values to which an attribute can belong.,,,
range,range,,,ontology,Restriction class for a property. See slot and domain (ontology).,,,
RDB2RDF,RDB2RDF,,,Semantic Web,,,,
reachable,reachable,,,graph theory,The set of all nodes in a graph that can be arrived at by traversing arcs.,,,
real-time,real-time,,,systems,System design where events in the computer are taking place at nearly the same clock time as in the real world. ,,,
really simple syndication/rdf site summary/rich site summary,really simple syndication/rdf site summary/rich site summary,RSS,,standard,A family of standards for bloggers and content syndication.,,,
reasoner,reasoner,,inference engine,semantics,A software program that can assign members to classes based on formal class definitions.,,,
recursive,recursive,,,programming,Flow of control in which a module calls a new instance of itself an indefinite number of times. See recursive. ,,,
referent,referent,,,semantics,The real world object which an individual represents in an ontology. ,"“Horse” is a symbol, which stands for a concept. The referent is what kicks you.",,
referential integrity,referential integrity,,,database,Property of database management system that allows it to manage the relationship of instances in different tables such that a change or deletion in one table does not invalidate information in another. Referential integrity would prevent the deletion of a customer if there were still orders outstanding for that customer.,,,
reification,reification,,,RDF,"Statements that refer to other RDF statements. For instance, to make a reference that another assertion is false or dubious is a reification.",,,
reify,reify,,,semantics,To treat an abstraction as if it were real. ,"Marriage is the reification of a relationship, as are most entities in most databases.",,
repository,repository,,,metadata,Place to persistently store metadata. A database for metadata.,,,
resource,resource,,,RDF,"In RDF terms, a URI or a literal.",,,
resource description framework,resource description framework,RDF,,"standards, semantic web",Basic model for expressing knowledge in the Semantic Web.,,,
resource description framework schema,resource description framework schema,RDFS,,"standards, semantic web","Adds schema properties to RDF, such as ""subclass"" and ""inverse.""",,,
restriction,restriction,,,description logic(s),A class definition where membership can be inferred based on precise definitions of membership qualification.,,,
run time,run time,,,software,"Refers to things which can change when the program is running as opposed to those things which must be changed when the program is being designed (or compiled). Shifting things (e.g., hardware, software, data) from design time to run time can make the system much more flexible.",,,
schema,schema,,,XML,"Allowable tags and their sequencing, usually expressed in DTD or XSD.",,,
schema,schema,,,database,Data definition for tables.,,,
semantic,semantic,,,philosophy,"Concerned with the study of meaning (often the meaning of words). In business systems we are concerned with making the meaning of data explicit (structuring unstructured data), as well as making it explicit enough that an agent could reason about it.",,,
Semantic Annotations for Web Services Description Language,Semantic Annotations for Web Services Description Language,,,,"Standard for adding semantic description of Web service capability as annotation in the WSDL interface definition. (Previously, WSDL-S)",,,
semantic data modeling,semantic data modeling,SDM,,modeling,Conceptual database modeling based on semantics.,,,
Semantic Web,Semantic Web,,,Semantic Web,,,,
Semantic Web,Semantic Web,,Web 3.0,network,Next generation  Internet where all the content is tagged with semantic tags and committed to ontologies. An interlinking of ontologies will allow agents to reason about information only tangentially connected (and not previously connected by their creators).,,,
